,course,courses_description
35,"Leadership, Innovation, and Change","An emphasis on data analytics and algorithms at the center of an enterprise also means that leaders will have to drive both innovation and large-scale organizational change. This course will focus on the leader’s role in both executing their current strategy better than their competitors as well as their role in shaping strategic innovation. We employ the congruence model that links strategy to execution through alignment of culture, people, tasks, structure, and executive leadership. We also explore the inertial characteristics of aligned organizations and the strategic importance of driving innovation streams. We explore building ambidextrous organizations, organizations that can both exploit their existing strategy as well as explore into new strategic domains. Because ambidexterity requires leaders that can deal with punctuated change and paradoxical strategies, our course concludes with what we know about ambidextrous leadership and leading large system change."
36,Operations and Supply Chain Management,"Digital technologies and data analytics are radically changing the operating model of an organization and how it connects to its broader supply chain and ecosystem. This course emphasizes managing product availability, especially in a context of rapid product proliferation, short product life cycles, and global networks of suppliers and customers. Topics examined include inventory management, distribution economics, demand forecasting, and supplier management. The course emphasizes the ""general manager's perspective"" in supply chains. Cases in the course illustrate that barriers to integrating supply chains often relate to behavioral issues (e.g., misaligned incentives or change management challenges) and operational execution problems that fall squarely in the domain of the general manager."
37,Foundations of Quantitative Analysis,"This course is an introduction to using statistical approaches to solve business problems. It introduces statistical concepts via a management perspective and places special emphasis on developing the skills and instincts needed to make sound decisions and become an effective manager. The main components of the course include methods for describing and summarizing data, the fundamentals of probability, the basics of study design and data collection, and statistical inference. Data analyses, simulation, and design issues are implemented in the statistical computing package R run within the RStudio interface."
38,Leadership and People Analytics,"People Analytics is designed to help practitioners use data to improve people-related decisions. Participants will build hands-on skills to analyze data in ways that complement the frameworks and intuitions they would normally use to guide their managerial actions on people issues. At a deeper level, students in any job, organization, or industry context will sharpen their ability to think critically through the lens of rigorous analytics. Anchored in data, this course will equip participants with an analytic approach to diagnosing the varied forces that influence individual, team, and organizational performance, leading to more effective interventions and actions. While developing analytic skills and trying out tools and techniques, participants will come to appreciate the opportunities, limits, and tensions involved in using data analytics to inform people issues, while simultaneously gaining deeper insight into the substance of the business issues in question."
39,Data-Driven Marketing,Marketing has been revolutionized and forever changed by data analytics. What used to be a qualitative and instinct-driven business function (think “Mad Men”) has now become a data-driven profession that relies on quantitative insights on how best to optimize ad creation and placement and influence consumer purchase behavior. This course will examine the ways in which marketing has changed and the new skills and capabilities needed to succeed in this function.
40,Data Science Pipeline and Critical Thinking,"Ultimately, business analytics is about using data, analytics, and algorithms to make prescriptive predictions about future events and decisions. This course will take a holistic approach to helping participants understand the key factors involved, from data collection to analysis to prediction and insight. Projects will give students hands-on experience developing and running a data science pipeline to ensure that the correct business predictions are being made. Emphasis will be on merging technical skills with critical thinking to ensure that robust data science pipelines are being created for business benefit."
41, Acquisition & Management of Data ,"This course will focus on the data management techniques frequently used as a precursor to analysis with ‘real world data’. Topics include database structures, SQL, data cleaning, merging and filtering, detecting and correcting errors. The course will also cover the application of visualization to developing and telling stories with data with data visualization techniques."
42, AI Ethics & Policy,"This course explores the profound implications of AI on business and society. The ethical and policy issues linked with the application of AI in business are covered in-depth, including such issues as overcoming the job displacement due to AI by job creation, ensuring the public good as AI pervades the new economy, and balancing privacy and transparency in AI related endeavors."
43, Analytical Decision Making ,"Good managerial decisions depend on an understanding not only of the problem structure, parameters, and constraints, but also of the organizational context in which the decision will be implemented. In this course, we will explore the use of a variety of analytical methods to assist in the mechanics of problem solving and case studies and illustrations to illuminate contextual issues. The general approach we will follow will be to construct an analytical representation of the problem, called a model. This model will be manipulated, or ""solved"", to identify the decision that yields the ""best"" outcome. Finally, the model results are applied back to the original managerial problem, or implemented.In this course, we shall concentrate on the processes of problem recognition, model formulation, and interpretation of the model results and implementation. We will not focus on algorithmic details of specific model solution, but rather will use pre-tested computer routines in most cases. The intention of the course is to help you become a perceptive and critical user of quantitative models in an organization. Decision models can be divided into two main categories: those that assume that the variables within, and outcomes from, a decision problem are known with certainty (called deterministic models), and those which introduce elements of uncertainty or risk (called stochastic models). We will examine models from each of these categories, chosen on the basis of degree of use in current practice. Case studies will help in developing facility with model formulation and interpretation of results, and will aid development of an intuition about effective use of modeling. The phenomenal power for problem analysis provided by modern spreadsheets will be exploited in the course, using EXCEL and EXCEL Add-Ins (@RISK and Precision Tree)."
44, Analytics for Financial Markets,"This course provides a comprehensive overview of modern financial analytics. Topics will include traditional models such as: the CAPM, portfolio optimization, applied contingent-claims analysis, Altman’s-Z, Monte-Carlo methods and applied econometric models. In addition, the course will also cover recent advances in artificial neural networks and machine learning tools applied to forecasting financial time-series and corporate default as well as Block-Chain analytics."
45, Analytics Strategy & Change,"This course covers the role strategy development and change management play in successfully capitalizing on the promise of Analytics. Delivered towards the end of the program, the course provides students with the opportunity to synthesize their learnings and understand what to change and how to do it.The course integrates 2 complementary aspects of driving organizational success through analytics – what to do (the strategy piece) and how to make it happen (the change management piece).The course covers the entire spectrum of enterprise strategic and cultural transformation, including functional level changes in strategy (e.g. marketing, finance) through to enterprise/corporate level changes to strategy and culture. The course also touches on strategy and change as they relate to intra- and entrepreneurial endeavors.Specific topics covered include:How to set strategy via an agile strategic planning processCreating and implementing a strategic plan (for an existing enterprise or function)Creating a Business Model Canvas (for an entrepreneurial venture)Implementation essentials (link to project leadership course)Organizing for innovation (intrapreneurship)Defining and creating a culture of analyticsLeading and managing cultural change (organizational and individual level change management)"
46, Big Data Analytics,"The course will still cover big data architectures, the Hadoop ecosystem (especially Spark), NoSQL databases, and a sampling of powerful applications of big data analytics, including recommender systems and social network analytics. New concepts will include additional applications of big data analytics, including text and unstructured analytics, such as sentiment analysis, document clustering, and document classification."
47, Creating High-Performance Teams ,"Creating, leading or contributing to a high-performance team are critical skills for managers today. This introductory module helps you build an understanding of the key elements of a high-performance team, and what leads to team effectiveness. During the module, students are led through a set of practical sessions that reveal a five-step process for building high-performance teams. The knowledge gained and the skill set developed are immediately transferable to the work place."
48, Entrepreneurship & Innovation ,"This course introduces students to entrepreneurship and innovation, designed to embed a much greater appreciation for the role of entrepreneurial thinking and know-how in the minds of all students, regardless of current or desired role in business – start-up or corporate innovation. The course will provide a unique opportunity for students to immerse themselves in what it means to be entrepreneurial, and in the entire new venture context. Students will finish the course with the following:Ideation techniques such as Design ThinkingThe ability to differentiate, using a systematic and thorough approach, between an idea and a true business opportunity, the ability to assess an analytics-based new business venture or corporate innovationThe ability to understand what strategies and resources are required and available to translate a viable opportunity into a real businessThe ability to 'pitch' a business opportunity in order to gain whatever resources are necessary to execute on the opportunity presentedAn appreciation for various types of analytics based new ventures and innovations"
49, Introduction to Analytic Modelling ,"The course will establish a foundation of statistical modelling techniques to be immediately useful for analysis and to provide a foundation for more advanced material studied throughout the program. Topics will include data types, random numbers, probability models, hypothesis testing and statistical inference, and a thorough grounding in simple and multiple regression. The course is designed to ensure that all students, regardless of background or experience, are proficient in the use and application of a variety of statistical methods."
50, Introduction to Management ,"This course introduces the main functional areas of business, including strategy, marketing, operations and finance, and demonstrates how these areas interact to produce and market products and/or services effectively and efficiently. It provides an overview of the modern corporate enterprise in Canadian and international contexts, and of the tasks, practices, and responsibilities of its managers, and is designed to ensure all students, regardless of background or experience, are equipped to understand analytics in the context of business and management."
51, Machine Learning & Artificial Intelligence ,"This new course will introduce machine learning (ML) concepts, with a heavy focus on business applications. The course will look in-depth at all three types of ML: supervised (including classification and deep learning), unsupervised (including association rule learning and dimensionality reduction), and reinforcement learning. The course will survey key technologies and applications that are driving the ML revolution. The course will include some theoretical background, but will be application-focused. The overall goal of the course is to provide a foundation and framework for understanding how to use machine learning models in data-driven decision making.On completion of this course, students will be able to frame various classes of business problems as ML problems. Students will understand which ML model to use for a given problem, how to use the model, how to evaluate the model, and how to deploy the model.The course will include a group project that will provide an opportunity to apply various ML models to a real-world business dataset."
52, Marketing Analytics ,"Advances in data and technological infrastructure have enabled the tracking and collection of detailed information, structured or otherwise, on customer behaviours, preferences, and attitudes towards the brands that they buy from. Organizations today expect their marketing executives to be able to understand and apply analytical frameworks to this myriad of information and data to generate insights that drive sound business decisions. The objective of this course is to show you how to apply an analytical approach to marketing decision making in this era of ""big data.""Through a combination of theory-based and hands-on learning, participants of this course will be able to learn the key set of marketing analytical techniques, including but not limited to segmentation and targeting, new product design, customer value management, and marketing mix modeling. The theoretical content from the text book will be augmented with real life applications and practitioner reflections from this field."
53, Operations & Supply Chain Analytics ,"""Operations"" refers to how an organization delivers its customer value proposition, its ""business model"". In all cases, whether it is a commercial firm that designs, manufactures, distributes, or provides products or services, a non-profit firm that manages volunteers, a healthcare facility that treats patents, or a government body that serves residents -- operational excellence is key to an organization's success and often survival. Further, as the complexities of the modern world often require working beyond the boundaries of the organization, this course also explores the operations of inter-connected agents as they work together in a value-chain.This course considers the main analytical techniques underlying the efficient and effective management of both strategic and tactical operational decisions within a single firm and throughout a supply chain. The course intermixes lectures, cases and interactive experiences not only to obtain familiarity with these techniques, but also to expose students to applying them in various industrial and organizational settings."
54, Predictive Modelling ,"The course will combine three key elements: analytics techniques, business applications, and basic coding/programming (in R, one of the leading open-source tools for analyzing data that you will be able to use in your jobs.) The emphasis will be not on the technicalities or theory, but rather on applications to various business cases. Basic familiarity with R is required, but for most classes you will receive a starter code, by running and modifying which you will learn analytics techniques and coding principles, and which you will also be able to use in your jobs. Because of that, much of the course will be in a form of a ""hands-on"" workshop; students are be expected to bring your laptop to class (with all the necessary software tools installed) and actively participate in the learning process. The course will cover 2 major topics within the domain of predictive analytics: “predicting quantities” and “predicting events”. Within the “quantities” part we will focus on linear models, variable selection and regularizations, as well as on time-series analyses. Within the “events” part we will focus on generalized linear models (logistic regression) and get an introduction to supervised machine learning (CART, random forest, boosting, and neural networks)."
55, Pricing Analytics ,"Pricing and Revenue Optimization (PRO) focuses on how a firm should set and update pricing and product availability decisions across its various selling channels in order to maximize its profitability. Through a combination of case studies, lectures and guest speakers, this course reviews the main methodologies of analytical pricing and surveys current practices in different industries. Within the broader area of pricing theory, the course places particular emphasis on tactical optimization of pricing, capacity allocation decisions, demand forecasts, market uncertainty, and the tools of constrained optimization."
56, Project Leadership ,"This course introduces students to best practices and processes relating to managing projects and launching and supporting projects in organizations (i.e., project leadership). The course approach adopts both leadership and management perspectives so students learn how the organization and project teams need to work together to deliver projects that get results. This course will provide an overview of managing predictive/traditional, scope-bound projects and an overview of managing adaptive/agile, time-bound projects."
57,ARTIFICIAL INTELLIGENCE FUNDAMENTALS,"This course introduces students to the field of artificial intelligence, with a focus on AI- driven business applications. It provides a historical perspective tracing the emergence of basic concepts of contemporary AI.  Students learn key artificial intelligence techniques including knowledge representation and symbolic reasoning, biologically  inspired approaches to AI, supervised, unsupervised and reinforcement learning, multi-agent systems and natural language processing."
58,DATABASE FUNDAMENTALS,"Database Management Systems are computer-based systems used by organizations to manage the vast amount of data that accompany daily operations, support data analysis, and enable intelligent decision making. This course provides an applied introduction to database management systems and their use in the business environment. The course covers the fundamentals of database analysis and design."
59,ALGORITHMS FOR BUSINESS ANALYSIS,"The course covers main approaches to design and analysis of algorithms used in business contexts, including important algorithms and data structures, and results in complexity and computability. This course is a pre-requisite for MMAI 5300."
60,CASE ANALYSIS AND PRESENTATION SKILLS,This course is designed to give students the opportunity to practice and develop their analytical thinking and presentation skills. The key objective of the course is to train students to successfully participate in national and international case competitions. A secondary objective is to prepare students to successfully interview for management consulting positions. Second-year MBA students who enjoy analyzing cases and delivering presentations are encouraged to take the course.
61,ETHICS AND SOCIETAL IMPLICATIONS OF ARTIFICIAL INTELLIGENCE,"This course is intended for students with professional interest in the social and ethical implications of AI. Topics include theoretical issues (could AI ever have moral rights?), practical issues (algorithmic bias, labour automation, data privacy), and professional issues (tech industry social responsibility)."
62,BUSINESS APPLICATIONS OF ARTIFICIAL INTELLIGENCE I,"The emphasis in this course will be on automation and autonomous cyber-physical system applications of artificial intelligence. Students will delve deeper into topics which include: probabilistic reasoning & handling uncertainty; search; perception & sensing; human- computer interfacing; conversational systems; and autonomous robotics, drones, and autonomous vehicles."
63,VISUAL ANALYTICS AND MODELLING,"This course is an introduction to the fundamental theories of visual communication design applied in data visualization and visual analytics. Students become familiar with data-driven decision making workflows and storytelling best practices. Major areas for discussion include visual design principals, data structures, taxonomy of data visualization models and weekly technical tutorials using the Tableau software."
64,NUMERICAL METHODS AND ANALYSIS,"Numerical analysis is concerned with finding numerical solutions to problems for which analytical solutions either do not exist or are not readily or cheaply obtainable. This course provides an introduction to the subject, focusing on the three core topics of iteration, interpolation and quadrature. Students will learn about both practical and theoretical aspects of algorithms. Pre-requisite: MMAI 5200."
65,AI CONSULTING PROJECT,"The AI Consulting Project is an intensive, 2-term course where groups of 4 students undertake a comprehensive artificial intelligence (AI) project of an organization and provide business insights to enhance the site’s success. At the conclusion of the project students present their work to a panel of at least two experts, including the course director, and to the client site."
66,MANAGING CHANGE,"As the environment of many business and nonprofit organizations becomes increasingly complex and unstable, it is imperative that top managers be able to create a climate of flexibility and adaptability in their operations.  Organizations must be able to undertake major change without destructive side effects to be truly successful.  This course surveys the major methods available to the modern manager for effectively managing the process of change and creating a general climate in which needed changes are sought and welcomed throughout the organization.  The course emphasizes case studies and the discussion of alternative change management models.

Prerequisite:  SB/ORGS 5100 3.00 or INTL 5220 for IMBA students"
67,BUSINESS APPLICATIONS OF ARTIFICIAL INTELLIGENCE II,"This course bridges the theoretical foundation and the business applications of artificial intelligence technology. Through in-class lecturing and hands-on activities, students learn fundamentals of AI technology, formulate business problems in AI paradigm and Applications of AI in addressing business problems. The class covers up-to-date AI applications such as Recommendation Systems, FinTech, Social Network Analytics, Sentiment Analysis etc."
68,NATURAL LANGUAGE PROCESSING,"This course focuses on the principles and technologies of statistical machine- learning-based natural language processing and their application in text analytics, including retrieval, extraction, recognition, and analysis of information from large textual collections. Prerequisite: MMAI 5040 3.00 Business Applications of Artificial Intelligence I and MMAI 5300 3.00 Numerical Analysis."
69,APPLICATIONS OF NEURAL NETWORKS AND DEEP LEARNING IN BUSINESS,"Deep learning systems, embodied by a variety of neural network models, are used increasingly in modern business applications. Students will learn about the basics of neural network and deep learning, and their applications to a range of business issues. By the end of the course, students will have sufficient domain knowledge to address practical business problems."
70,INTERPERSONAL MANAGERIAL SKILLS,"Research demonstrates that people and their ability to work effectively together are critical success factors for organizations. This course focuses on specific personal and interpersonal skills for organizational (and professional) effectiveness. With an emphasis on experiential exercises, the course helps students develop skills such as communication; time, conflict and stress management; performance management; gaining influence; and self-awareness (including emotional intelligence).

Prerequisite: SB/ORGS 5100 3.0 and SB/ORGS MGMT 5150 3.0"
